"Time","Temperature"
2025-04-03 01:00:00,
2025-04-03 13:00:00,
2025-04-04 01:00:00,
2025-04-04 13:00:00,
2025-04-05 01:00:00,
2025-04-05 13:00:00,
2025-04-06 01:00:00,
2025-04-06 13:00:00,
2025-04-07 01:00:00,
2025-04-07 13:00:00,
2025-04-08 01:00:00,
2025-04-08 13:00:00,
2025-04-09 01:00:00,
2025-04-09 13:00:00,
2025-04-10 01:00:00,
2025-04-10 13:00:00,
2025-04-11 01:00:00,
2025-04-11 13:00:00,
2025-04-12 01:00:00,
2025-04-12 13:00:00,
2025-04-13 01:00:00,
2025-04-13 13:00:00,
2025-04-14 01:00:00,
2025-04-14 13:00:00,
2025-04-15 01:00:00,
2025-04-15 13:00:00,
2025-04-16 01:00:00,
2025-04-16 13:00:00,
2025-04-17 01:00:00,
2025-04-17 13:00:00,
2025-04-18 01:00:00,
2025-04-18 13:00:00,
2025-04-19 01:00:00,
2025-04-19 13:00:00,
2025-04-20 01:00:00,
2025-04-20 13:00:00,
2025-04-21 01:00:00,
2025-04-21 13:00:00,
2025-04-22 01:00:00,
2025-04-22 13:00:00,
2025-04-23 01:00:00,
2025-04-23 13:00:00,
2025-04-24 01:00:00,23 °C
2025-04-24 13:00:00,
2025-04-25 01:00:00,
2025-04-25 13:00:00,
2025-04-26 01:00:00,
2025-04-26 13:00:00,
2025-04-27 01:00:00,
2025-04-27 13:00:00,
2025-04-28 01:00:00,
2025-04-28 13:00:00,
2025-04-29 01:00:00,22.1 °C
2025-04-29 13:00:00,21.3 °C
2025-04-30 01:00:00,20.8 °C
2025-04-30 13:00:00,21.5 °C
2025-05-01 01:00:00,20.8 °C
2025-05-01 13:00:00,21.4 °C
2025-05-02 01:00:00,20.9 °C
2025-05-02 13:00:00,21.4 °C
2025-05-03 01:00:00,20.9 °C
2025-05-03 13:00:00,21 °C
2025-05-04 01:00:00,20.7 °C
2025-05-04 13:00:00,20.8 °C
2025-05-05 01:00:00,20.2 °C
2025-05-05 13:00:00,20.5 °C
2025-05-06 01:00:00,20.4 °C
2025-05-06 13:00:00,20.4 °C
2025-05-07 01:00:00,20.3 °C
2025-05-07 13:00:00,20.4 °C
