campaign,sensor_id,annealing_time,sat_V_CV,sat_V_err_down_CV,sat_V_err_up_CV,low_fit_start_CV,low_fit_stop_CV,high_fit_start_CV,high_fit_stop_CV,sat_V_TCT,sat_V_err_down_TCT,sat_V_err_up_TCT,low_fit_start_TCT,low_fit_stop_TCT,high_fit_start_TCT,high_fit_stop_TCT
HighFluenceIrrNeutron2023,N8737_2_LL1,21min,608.0,18.0,26.0,411.0,567.0,741.0,837.0,0.0,nan,nan,0.0,0.0,0.0,0.0
HighFluenceIrrNeutron2023,N8737_2_LL1,30min,597.0,24.0,30.0,411.0,570.0,741.0,837.0,0.0,nan,nan,0.0,0.0,0.0,0.0
HighFluenceIrrNeutron2023,N8737_2_LL1,60min,574.0,19.0,23.0,411.0,543.0,691.0,791.0,0.0,nan,nan,0.0,0.0,0.0,0.0
HighFluenceIrrNeutron2023,N8737_2_LL1,90min,573.0,17.0,19.0,411.0,549.0,703.0,808.0,0.0,nan,nan,0.0,0.0,0.0,0.0
HighFluenceIrrNeutron2023,N8737_2_LL1,120min,582.0,24.0,31.0,411.0,557.0,703.0,808.0,0.0,nan,nan,0.0,0.0,0.0,0.0
HighFluenceIrrNeutron2023,N8737_2_LL1,150min,583.0,19.0,27.0,411.0,561.0,703.0,808.0,0.0,nan,nan,0.0,0.0,0.0,0.0
HighFluenceIrrNeutron2023,N8737_2_LL1,200min,589.0,13.0,19.0,411.0,572.0,711.0,808.0,0.0,nan,nan,0.0,0.0,0.0,0.0
HighFluenceIrrNeutron2023,N8737_2_LL1,275min,613.0,14.0,20.0,435.0,580.0,763.0,862.0,0.0,nan,nan,0.0,0.0,0.0,0.0
HighFluenceIrrNeutron2023,N8737_2_LL1,350min,628.0,10.0,14.0,435.0,592.0,763.0,862.0,0.0,nan,nan,0.0,0.0,0.0,0.0
HighFluenceIrrNeutron2023,N8737_2_LL1,500min,678.0,18.0,22.0,512.0,638.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0
